charge_mass,offset,pso_spherical,pr_spherical,is_spherical,ir_spherical,u_spherical,ta_spherical,td_spherical,pso_hemispherical,pr_hemispherical,is_hemispherical,ir_hemispherical,u_hemispherical,ta_hemispherical,td_hemispherical
71.36727554,7.666328884,232.3147292,811.8048716,410.5984345,1074.679807,585.5540619,6.97379451,7.259470266,340.22656,1341.284581,601.5206741,1662.906023,667.9363582,6.070973569,8.454189545
45.68098611,3.440185134,1017.93179,5590.503698,641.8719944,2101.447618,1050.270549,1.769972874,6.304393825,1470.642671,9024.438242,852.7087463,3331.046063,1241.764814,1.559351282,5.438537738
57.48460585,2.470351935,2415.432659,16854.22188,626.0136308,3943.818103,1562.28985,0.910306378,2.346588231,3228.66041,23985.46127,675.4467143,6359.628598,1793.661361,0.828030644,1.686110665
24.03920501,7.880320703,99.13076376,274.1552814,201.692434,472.7588781,461.3097376,9.787870829,7.301856039,141.4225949,427.1160249,291.0242071,722.7877156,504.7507971,8.654748513,7.398446512
99.42879087,7.403186936,322.9605563,1246.852928,525.1472854,1431.901081,656.3495443,5.942566501,7.774890496,476.0434883,2087.662281,772.7186349,2226.688043,759.3880945,5.16243093,9.761523404
57.01880378,4.023920922,846.5424041,4399.260652,648.2831531,2030.61574,968.1868997,2.224407681,6.992752821,1234.186539,7217.169088,895.2562615,3208.14381,1145.442755,1.950742744,7.361207115
67.58258206,5.684570506,439.8531049,1868.213624,525.4368259,1488.301513,737.5290707,4.052111786,6.91663288,649.7676774,3141.361658,770.7047239,2325.639429,862.7208686,3.521590705,8.984873189
79.43954557,8.917815043,179.4713767,581.6299915,383.1688904,970.3421103,539.8584488,8.934036952,8.224738721,260.983549,946.4998629,558.2513798,1495.822191,608.3278395,7.803197989,8.880677865
80.69884807,4.122408745,1037.855338,5732.76923,780.684416,2569.823653,1059.394554,2.105033901,7.583022498,1497.769197,9236.1569,1025.478158,4074.919603,1252.328557,1.855529728,6.377559134
83.45224828,3.970488615,1155.305306,6585.932454,814.2652772,2771.468721,1111.630952,1.944634019,7.392408661,1656.215728,10488.9006,986.5162256,4403.3709,1312.259647,1.719495565,5.447886182
80.50994974,3.46227126,1514.081913,9325.647215,844.2625149,3237.094141,1257.474282,1.526775507,5.852365385,2125.822032,14340.56441,870.6879481,5169.845981,1474.750653,1.362348979,3.543105355
52.02315944,1.851968814,3941.013063,30897.7177,526.0190684,5490.72642,1965.74053,0.567657365,1.175398776,4935.170825,40085.86874,620.2456071,8955.406568,2185.216118,0.528222563,1.039951846
25.08711511,9.264209945,73.21950921,188.8046259,179.6522487,405.2279126,432.8141058,12.77671059,8.088616617,103.4513959,287.369237,259.0448442,617.066347,466.6361638,11.39160229,8.649654632
16.16833133,1.347576659,3450.293738,26247.15429,366.6354723,3352.292858,1846.722913,0.434003376,0.923760612,4401.679392,34918.34535,421.1273918,5449.915243,2072.125395,0.401347525,0.776656997
