W,L/D,theta,R,iso,pso
3.63,0.5,45,6.4,85.56,57.02
3.63,0.5,45,7.92,68.6,36.27
3.63,0.5,45,9.45,59.09,28.13
3.63,0.5,90,2.13,146.24,402.86
3.63,0.5,90,3.35,100.73,138.38
3.63,0.5,90,4.88,62.67,44.54
3.63,0.5,90,6.4,67.43,40.75
3.63,0.5,90,7.92,50.12,25.58
3.63,0.5,90,9.45,47.5,24.06
3.63,0.5,90,2.13,249.66,586.68
3.63,0.5,90,3.35,97.22,106.52
3.63,0.5,90,4.88,81.29,51.09
3.63,0.5,90,6.4,64.95,27.37
3.63,0.5,90,7.92,57.16,20.96
3.63,0.5,90,9.45,47.37,17.24
3.63,0.5,90,2.13,326.6,572.33
3.63,0.5,90,3.35,191.88,122.73
3.63,0.5,90,4.88,172.78,45.23
3.63,0.5,90,6.4,138.31,30.75
3.63,0.5,90,7.92,117.83,21.24
3.63,0.5,90,9.45,96.73,17.24
3.63,0.5,135,2.13,175.2,471.39
3.63,0.5,135,3.35,134.03,152.72
3.63,0.5,135,4.88,106.87,83.36
3.63,0.5,135,6.4,78.53,48.13
3.63,0.5,135,7.92,64.26,34.2
3.63,0.5,135,9.45,54.54,25.58
3.63,0.5,180,2.13,181.26,468.91
3.63,0.5,180,3.35,40.89,63.43
3.63,0.5,180,4.88,39.64,24.48
3.63,0.5,180,6.4,43.44,16.96
3.63,0.5,180,7.92,28.34,9.03
3.63,0.5,180,9.45,37.51,10.34
3.63,0.5,180,2.13,1028.77,1038.42
3.63,0.5,180,3.35,345.29,233.18
3.63,0.5,180,4.88,174.78,129.14
3.63,0.5,180,6.4,141.07,25.1
3.63,0.5,180,7.92,110.04,25.1
3.63,0.5,180,9.45,127.48,23.03
3.63,1,0,2.13,404.17,2302.37
3.63,1,0,3.35,180.44,333.64
3.63,1,0,4.88,93.84,54.47
3.63,1,0,6.4,86.12,34.96
3.63,1,0,7.92,64.67,19.72
3.63,1,0,9.45,58.05,15.86
3.63,1,0,3.35,210.77,424.3
3.63,1,0,4.88,99.28,90.53
3.63,1,0,6.4,81.08,48.06
3.63,1,0,7.92,62.6,23.58
3.63,1,0,9.45,55.5,16.06
3.63,1,0,2.13,416.31,1953.08
3.63,1,0,3.35,232.49,508.01
3.63,1,0,4.88,98.46,93.22
3.63,1,0,6.4,75.57,34.06
3.63,1,0,7.92,64.12,25.17
3.63,1,0,9.45,56.12,16.13
3.63,1,0,2.13,263.66,1732.1
3.63,1,0,3.35,210.98,440.23
3.63,1,0,4.88,100.66,111.35
3.63,1,0,6.4,70.53,44.2
3.63,1,0,7.92,64.53,26.27
3.63,1,0,9.45,52.68,16.75
3.63,1,0,2.13,484.49,1968.87
3.63,1,0,3.35,194.78,428.72
3.63,1,0,4.88,122.24,98.46
3.63,1,0,6.4,80.05,48.4
3.63,1,0,7.92,67.09,25.03
3.63,1,0,9.45,57.23,16.82
3.63,1,22.5,2.13,102.04,345.29
3.63,1,22.5,3.35,107.49,200.71
3.63,1,22.5,4.88,99.35,67.15
3.63,1,22.5,6.4,47.92,22.27
3.63,1,22.5,7.92,70.6,22.68
3.63,1,22.5,9.45,57.57,15.86
3.63,1,22.5,2.13,141.48,580.54
3.63,1,22.5,3.35,103.21,208.5
3.63,1,22.5,4.88,98.04,85.91
3.63,1,22.5,6.4,81.7,44.26
3.63,1,22.5,7.92,64.47,26.06
3.63,1,22.5,9.45,56.47,17.17
3.63,1,22.5,2.13,103.49,493.04
3.63,1,22.5,3.35,106.18,178.3
3.63,1,22.5,4.88,96.25,79.22
3.63,1,22.5,6.4,65.91,33.51
3.63,1,22.5,7.92,65.57,25.37
3.63,1,22.5,9.45,52.68,16.06
3.63,1,45,2.13,189.61,422.17
3.63,1,45,3.35,149.41,188.43
3.63,1,45,4.88,88.94,75.15
3.63,1,45,6.4,74.33,60.88
3.63,1,45,7.92,71.08,37.37
3.63,1,45,9.45,59.36,27.65
3.63,1,45,2.13,154.65,551.86
3.63,1,45,3.35,137.41,173.89
3.63,1,45,4.88,117.49,99.42
3.63,1,45,6.4,84.25,54.19
3.63,1,45,7.92,67.57,36.75
3.63,1,45,9.45,55.99,25.58
3.63,1,45,2.13,183.54,446.99
3.63,1,45,3.35,146.44,171.47
3.63,1,45,4.88,120.66,100.59
3.63,1,45,6.4,90.39,63.5
3.63,1,45,7.92,71.57,41.02
3.63,1,45,9.45,55.78,27.72
3.63,1,67.5,2.13,165.34,329.43
3.63,1,67.5,3.35,125.07,131.28
3.63,1,67.5,4.88,90.87,57.02
3.63,1,67.5,6.4,50.26,46.88
3.63,1,67.5,7.92,64.88,30.13
3.63,1,67.5,9.45,52.68,22.06
3.63,1,67.5,2.13,167.54,677
3.63,1,67.5,3.35,111.01,133.76
3.63,1,67.5,4.88,101.9,68.67
3.63,1,67.5,6.4,75.08,44.13
3.63,1,67.5,7.92,62.4,30.68
3.63,1,67.5,9.45,50.88,23.37
3.63,1,67.5,2.13,168.44,649.14
3.63,1,67.5,3.35,119.07,130.86
3.63,1,67.5,4.88,92.53,61.98
3.63,1,67.5,6.4,67.09,37.65
3.63,1,67.5,7.92,59.78,29.72
3.63,1,67.5,9.45,49.09,21.86
3.63,1,90,2.13,221.11,625.56
3.63,1,90,3.35,126.73,145.41
3.63,1,90,4.88,95.01,65.22
3.63,1,90,6.4,64.12,34.13
3.63,1,90,7.92,53.5,23.58
3.63,1,90,9.45,45.92,17.44
3.63,1,90,2.13,186.78,551.17
3.63,1,90,3.35,96.73,128.45
3.63,1,90,4.88,75.08,56.26
3.63,1,90,6.4,59.36,31.16
3.63,1,90,7.92,50.95,21.03
3.63,1,90,9.45,47.02,16.62
3.63,1,90,2.13,231.32,568.54
