W,L/D,theta,R,iso,pso
7.26,1,0,6.4,149.27,94.67
7.26,1,0,7.92,130.93,52.4
7.26,1,0,9.45,97.22,28.54
7.26,1,90,3.35,166.65,345.43
7.26,1,90,4.88,120.45,103.28
7.26,1,90,6.4,107.7,53.3
7.26,1,90,7.92,95.15,39.85
7.26,1,90,9.45,76.12,25.99
7.26,1,90,3.35,162.23,316.81
7.26,1,90,4.88,127.83,98.04
7.26,1,90,6.4,103.63,60.67
7.26,1,90,7.92,87.7,34.27
7.26,1,90,9.45,66.33,24.13
7.26,1,180,3.35,223.25,455.74
7.26,1,180,4.88,126.86,144.17
7.26,1,180,6.4,122.59,63.29
7.26,1,180,7.92,103.7,33.72
7.26,1,180,9.45,73.08,21.24
7.26,4,0,3.35,172.58,192.43
7.26,4,0,4.88,126.59,64.19
7.26,4,0,6.4,129.97,32.13
7.26,4,0,7.92,107.7,16.75
7.26,4,0,9.45,83.7,14.13
7.26,4,90,3.35,235.39,343.63
7.26,4,90,4.88,123.28,118.73
7.26,4,90,6.4,115.69,66.26
7.26,4,90,7.92,92.67,48.81
7.26,4,90,9.45,70.26,30.68
7.26,4,90,3.35,220.15,463.33
7.26,4,90,4.88,148.38,139.48
7.26,4,90,6.4,116.18,81.01
7.26,4,90,7.92,87.84,44.13
7.26,4,90,9.45,52.47,25.03
7.26,4,180,3.35,174.64,130.86
7.26,4,180,4.88,147.41,44.82
7.26,4,180,6.4,116.94,26.61
7.26,4,180,7.92,102.46,16.06
7.26,4,180,9.45,69.71,10.89
